date,1. open,2. high,3. low,4. close,5. volume
2019-08-14 10:06:00,204.86,205.18,204.79,204.99,133421.0
2019-08-14 10:05:00,205.0,205.02,204.6001,204.8763,188263.0
2019-08-14 10:04:00,205.14,205.32,205.015,205.015,81532.0
2019-08-14 10:03:00,205.27,205.47,205.08,205.1098,149226.0
2019-08-14 10:02:00,205.75,205.77,205.26,205.26,121110.0
2019-08-14 10:01:00,206.02,206.06,205.57,205.7527,163668.0
2019-08-14 10:00:00,206.4249,206.43,205.9,206.07,117029.0
2019-08-14 09:59:00,206.315,206.44,206.115,206.4,98967.0
2019-08-14 09:58:00,206.22,206.31,206.1,206.31,173799.0
2019-08-14 09:57:00,205.7,206.43,205.7,206.2172,121344.0
2019-08-14 09:56:00,206.16,206.17,205.72,205.72,95455.0
2019-08-14 09:55:00,205.79,206.28,205.72,206.18,154925.0
2019-08-14 09:54:00,205.6,206.0426,205.46,205.815,123227.0
2019-08-14 09:53:00,205.84,205.9,205.54,205.585,114365.0
2019-08-14 09:52:00,205.7,206.24,205.64,205.87,266021.0
2019-08-14 09:51:00,205.26,205.72,205.02,205.71,178272.0
2019-08-14 09:50:00,205.3873,205.47,205.22,205.2506,132765.0
2019-08-14 09:49:00,205.015,205.54,204.7301,205.4216,210457.0
2019-08-14 09:48:00,204.93,205.05,204.68,205.0,135265.0
2019-08-14 09:47:00,204.38,204.9,204.21,204.9,145489.0
2019-08-14 09:46:00,204.9,204.91,204.07,204.4,283343.0
2019-08-14 09:45:00,205.078,205.2,204.84,204.925,142456.0
2019-08-14 09:44:00,205.18,205.2414,205.05,205.085,130201.0
2019-08-14 09:43:00,205.2294,205.72,205.13,205.21,213016.0
2019-08-14 09:42:00,204.935,205.27,204.63,205.2,181929.0
2019-08-14 09:41:00,205.4187,205.4187,204.8,204.9361,205521.0
2019-08-14 09:40:00,204.91,205.45,204.75,205.4,277211.0
2019-08-14 09:39:00,204.739,204.98,204.55,204.93,159684.0
2019-08-14 09:38:00,204.766,204.79,204.38,204.72,184609.0
2019-08-14 09:37:00,204.35,204.85,204.296,204.78,200591.0
2019-08-14 09:36:00,204.39,204.4985,203.9,204.38,211764.0
2019-08-14 09:35:00,204.1386,204.5,203.76,204.39,208399.0
2019-08-14 09:34:00,204.59,204.78,204.03,204.1309,236394.0
2019-08-14 09:33:00,204.09,204.99,204.0106,204.6044,384253.0
2019-08-14 09:32:00,204.2,204.4,203.58,204.095,336542.0
2019-08-14 09:31:00,203.16,204.39,202.7,204.21,1776820.0
2019-08-13 15:59:00,208.925,209.07,208.86,209.0003,292500.0
2019-08-13 15:58:00,209.04,209.05,208.9,208.925,193573.0
2019-08-13 15:57:00,209.2,209.27,208.99,209.04,206730.0
2019-08-13 15:56:00,209.51,209.515,208.85,209.19,305171.0
2019-08-13 15:55:00,209.39,209.53,209.34,209.52,157892.0
2019-08-13 15:54:00,209.3638,209.4,209.225,209.39,101079.0
2019-08-13 15:53:00,209.23,209.4,209.21,209.365,105350.0
2019-08-13 15:52:00,209.195,209.23,209.1,209.2248,85129.0
2019-08-13 15:51:00,209.105,209.23,209.06,209.2,110731.0
2019-08-13 15:50:00,209.0,209.11,208.94,209.1035,117186.0
2019-08-13 15:49:00,208.98,209.015,208.82,209.01,129990.0
2019-08-13 15:48:00,209.01,209.04,208.95,208.975,98817.0
2019-08-13 15:47:00,209.175,209.2,209.0,209.01,95974.0
2019-08-13 15:46:00,209.22,209.31,209.04,209.17,103355.0
2019-08-13 15:45:00,209.26,209.34,209.21,209.216,107499.0
2019-08-13 15:44:00,209.435,209.44,209.26,209.26,78508.0
2019-08-13 15:43:00,209.4004,209.45,209.34,209.4296,86663.0
2019-08-13 15:42:00,209.51,209.52,209.38,209.39,89104.0
2019-08-13 15:41:00,209.37,209.52,209.36,209.51,107117.0
